COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_V_15_UT,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,CLORUROS_TOT,TIPO_CUERPO_AGUA
4600.0,,750.0,4.309,,,3.53,,10.14,0.062,0.005,0.6,0.095,0.7569999999999999,0.157,1.0,1.0,0.049,0.019,5.0,,142.4,222.5,7.3,67.9,5.18,10.0,5.41,0.0015,0.001301,0.02083,0.00115,0.00633,0.00775,104.0,28.0,27.6,,LÓTICO
2400.0,2400.0,91.0,20.75,18.53,2.0,2.0,,,0.0035,0.005,0.314,0.0,0.314,0.0035,1.0,1.0,0.0014,0.0015,5.0,0.016,151.04,236.0,8.57,115.8,9.12,10.0,2.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,115.0,28.7,27.6,,LÓTICO
2400.0,2400.0,1986.0,22.15,10.59,2.0,2.0,,,0.0035,0.005,0.031,0.0,0.0035,0.0035,1.0,1.0,0.0014,0.0015,5.0,0.009,168.96,264.0,7.91,115.77,9.12,11.0,5.8,0.0015,0.001301,0.0012,,0.00042,0.00154,161.0,29.1,27.6,,LÓTICO
15.0,240.0,4.0,4.1,4.1,2.0,2.0,,,0.0035,0.005,0.205,0.0,0.205,0.0035,1.0,1.0,0.0014,0.0015,5.0,0.009,154.88,242.0,8.53,122.4,10.12,10.0,2.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,168.0,29.0,24.9,,LÓTICO
150.0,460.0,44.0,3.197,2.242,2.0,2.0,10.0,10.0,0.0035,0.005,0.497,2.414,2.911,2.414,1.0,1.0,0.0259,0.0237,5.0,0.009,126.72,198.0,8.78,78.0,6.7,22.0,3.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,115.0,21.0,23.7,,LÓTICO
2400.0,2400.0,101.0,3.866,3.866,2.0,2.0,10.0,10.0,0.241,0.005,0.504,0.137,0.882,0.378,1.0,1.0,0.0331,0.009,5.0,0.0401,142.72,223.0,8.39,83.0,6.81,39.0,20.0,0.0015,0.001301,0.0012,0.0002013,0.001252,0.00154,153.0,25.0,25.4,,LÓTICO
1100.0,1100.0,866.0,2.602,2.287,2.0,2.0,10.0,10.0,0.0188,0.0253,0.5604,0.03,0.6345000000000001,0.048799999999999996,1.0,1.0,0.0383,0.0202,8.0,0.1444,137.6,215.0,8.81,85.3,6.57,134.0,11.0,0.0015,0.001301,0.0012,0.0002013,0.00384,0.00154,129.0,30.8,28.3,,LÓTICO
1100.0,2400.0,125.0,3.393,3.393,2.0,2.0,10.0,10.0,0.0599,0.0129,0.3592,0.2452,0.6772,0.3051,1.0,1.0,0.0259,0.0086,8.0,0.0348,149.12,233.0,8.78,80.4,5.82,10.0,7.2,0.0015,0.001301,0.0012,0.00071,0.00273,0.00154,113.0,28.6,29.9,,LÓTICO
2400.0,2400.0,2613.0,2.605,1.452,2.78,5.65,10.0,10.0,0.1855,0.0093,0.8254,0.4136,1.4338,0.5991,1.0,1.0,0.0393,0.0015,30.0,0.062,150.4,235.0,7.85,103.3,7.65,90.0,120.0,0.0015,0.001301,0.0012,0.00094,0.00156,0.00815,158.0,30.0,31.1,,LÓTICO
1100.0,2400.0,10.0,1.54,0.77,2.0,2.0,10.0,10.0,0.278,0.012,0.519,0.0,0.809,0.278,1.0,1.0,0.058,0.042,10.0,0.046,144.4288,225.67,8.5,94.5,9.7,10.0,2.5,0.0015,0.001301,0.0012,0.006355,0.00042,0.00154,183.0,15.8,17.46,,LÓTICO
183.0,3448.0,183.0,3.842,3.842,2.0,2.0,10.0,10.0,0.052,0.022,0.512,0.084,0.6699999999999999,0.136,1.0,1.0,0.04,0.027,7.5,0.042,141.632,221.3,7.6,104.4,8.9,16.0,7.3,,0.001301,0.0012,,0.00042,0.00154,115.0,25.9,23.8,,LÓTICO
521.0,1250.0,10.0,2.331,2.331,2.0,2.0,10.0,15.23,0.077,0.009,0.278,0.114,0.478,0.191,1.0,1.0,0.062,0.026,7.5,0.021,147.20000000000002,230.0,8.2,103.9,9.5,16.0,2.8,,,,,,,184.0,32.8,28.6,,LÓTICO
11000.0,24000.0,135.0,4.788,2.051,2.0,2.0,16.7,46.6,0.061,0.006,0.451,0.189,0.7070000000000001,0.25,1.0,1.0,0.0014,0.0015,5.0,0.009,181.696,283.9,8.3,106.7,9.1,10.0,2.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,143.0,31.9,28.7,,LÓTICO
